two_theta_deg,intensity
20.0,26.368761043072503
20.02,14.3258882599971
20.04,6.669175997505281
20.06,23.426430523143615
20.08,13.659995519164546
20.099999999999998,16.844703954744375
20.119999999999997,19.14817425285593
20.139999999999997,15.11762311513966
20.159999999999997,25.81904011187528
20.179999999999996,26.943215481409286
20.199999999999996,9.483085387301088
20.219999999999995,15.525254920988445
20.239999999999995,21.059473749707653
20.259999999999994,29.798088648109744
20.279999999999994,16.41022394357445
20.299999999999994,18.879696115035017
20.319999999999993,31.75761666762608
20.339999999999993,40.67531919461325
20.359999999999992,35.335431305925574
20.379999999999992,19.550826309902227
20.39999999999999,24.240229774775937
20.41999999999999,27.280605821799
20.43999999999999,28.425740185104885
20.45999999999999,20.928009322347936
20.47999999999999,18.081101024996578
20.49999999999999,18.09900237744268
20.51999999999999,29.737394281287152
20.53999999999999,19.070672762615033
20.559999999999988,24.680124152998417
20.579999999999988,11.760259678056514
20.599999999999987,8.841492532064624
20.619999999999987,16.289353098394216
20.639999999999986,25.519486440952395
20.659999999999986,15.339280716732713
20.679999999999986,17.33031061627867
20.699999999999985,17.14029283115773
20.719999999999985,19.600403355411615
20.739999999999984,0.46767708227065796
20.759999999999984,18.042326243395713
20.779999999999983,19.62623405103748
20.799999999999983,20.277445136307925
20.819999999999983,27.283779419303528
20.839999999999982,30.256883820168184
20.85999999999998,24.1225001684127
20.87999999999998,30.916071734243477
20.89999999999998,19.525917377236688
20.91999999999998,23.877701884148312
20.93999999999998,12.73717954128558
20.95999999999998,31.583505192472447
20.97999999999998,10.708145801014197
20.99999999999998,7.484604275540892
21.01999999999998,20.422425868297786
21.039999999999978,27.54606521306802
21.059999999999977,13.842636468604486
21.079999999999977,26.587053903110967
21.099999999999977,3.5961602924730585
21.119999999999976,37.920430133118444
21.139999999999976,19.78764282323716
21.159999999999975,17.402984925043693
21.179999999999975,10.947961217714386
21.199999999999974,13.605433997489616
21.219999999999974,9.653862474697748
21.239999999999974,18.572489468382827
21.259999999999973,19.85996128113261
21.279999999999973,28.28026083165046
21.299999999999972,7.014799624188717
21.319999999999972,36.081069704024515
